IncidentNumber	AgencyNumber	FromDate	DrugType	Address1	Address2	City	ZIP	LocationType1	LocationType2	SuspectNumber	Race	Age	Sex	TypeofCriminalActivity	OhioRevisedCode
"01-0372---14"	"OH0730100"	41663.7236111111	8.0	""	"D 3906 STANTON AVE"	"NEW BOSTON"	45662.0	1.0	0.0	1.0	"W"	21.0	"M"	"O"	"292513B"
"01-0372---14"	"OH0730100"	41663.7236111111	8.0	""	"D 3906 STANTON AVE"	"NEW BOSTON"	45662.0	1.0	0.0	1.0	"W"	21.0	"M"	"P"	"292511C6"
"01-0372---14"	"OH0730100"	41663.7236111111	8.0	""	"D 3906 STANTON AVE"	"NEW BOSTON"	45662.0	1.0	0.0	1.0	"W"	21.0	"M"	"P"	"292512"
"01-0372---14"	"OH0730100"	41663.7236111111	8.0	""	"D 3906 STANTON AVE"	"NEW BOSTON"	45662.0	1.0	0.0	1.0	"W"	21.0	"M"	"P"	"292514"
"01-0372---14"	"OH0730100"	41663.7236111111	8.0	""	"D 3906 STANTON AVE"	"NEW BOSTON"	45662.0	1.0	0.0	2.0	"W"	22.0	"F"	"D"	"292503C6"
"01-0372---14"	"OH0730100"	41663.7236111111	8.0	""	"D 3906 STANTON AVE"	"NEW BOSTON"	45662.0	1.0	0.0	2.0	"W"	22.0	"F"	"O"	"292513B"
"01-0372---14"	"OH0730100"	41663.7236111111	8.0	""	"D 3906 STANTON AVE"	"NEW BOSTON"	45662.0	1.0	0.0	2.0	"W"	22.0	"F"	"P"	"292511C6"
"01-0372---14"	"OH0730100"	41663.7236111111	8.0	""	"D 3906 STANTON AVE"	"NEW BOSTON"	45662.0	1.0	0.0	2.0	"W"	22.0	"F"	"P"	"292512"
"01-0372---14"	"OH0730100"	41663.7236111111	8.0	""	"D 3906 STANTON AVE"	"NEW BOSTON"	45662.0	1.0	0.0	2.0	"W"	22.0	"F"	"P"	"292514"
"02082913"	"OH0730100"	41322.0590277778	8.0	"4490 Gallia St."	""	"New Boston"	45662.0	48.0	0.0	1.0	"W"	41.0	"F"	"P"	"292511C1"
"02082913"	"OH0730100"	41322.0590277778	8.0	"4490 Gallia St."	""	"New Boston"	45662.0	48.0	0.0	1.0	"W"	41.0	"F"	"P"	"292511C2"
"02082913"	"OH0730100"	41322.0590277778	8.0	"4490 Gallia St."	""	"New Boston"	45662.0	48.0	0.0	1.0	"W"	41.0	"F"	"P"	"292511C6"
"02082913"	"OH0730100"	41322.0590277778	8.0	"4490 Gallia St."	""	"New Boston"	45662.0	48.0	0.0	1.0	"W"	41.0	"F"	"P"	"292512"
"02082913"	"OH0730100"	41322.0590277778	8.0	"4490 Gallia St."	""	"New Boston"	45662.0	48.0	0.0	1.0	"W"	41.0	"F"	"P"	"292514"
"02082913"	"OH0730100"	41322.0590277778	8.0	"4490 Gallia St."	""	"New Boston"	45662.0	48.0	0.0	2.0	"W"	30.0	"M"	"P"	"292511C1"
"02082913"	"OH0730100"	41322.0590277778	8.0	"4490 Gallia St."	""	"New Boston"	45662.0	48.0	0.0	2.0	"W"	30.0	"M"	"P"	"292511C2"
"02082913"	"OH0730100"	41322.0590277778	8.0	"4490 Gallia St."	""	"New Boston"	45662.0	48.0	0.0	2.0	"W"	30.0	"M"	"P"	"292511C6"
"02082913"	"OH0730100"	41322.0590277778	8.0	"4490 Gallia St."	""	"New Boston"	45662.0	48.0	0.0	2.0	"W"	30.0	"M"	"P"	"292512"
"02082913"	"OH0730100"	41322.0590277778	8.0	"4490 Gallia St."	""	"New Boston"	45662.0	48.0	0.0	2.0	"W"	30.0	"M"	"P"	"292514"
"02089013"	"OH0730100"	41326.0513888889	2.0	"4200 Blk Gallia St"	""	"New Boston"	45662.0	47.0	0.0	1.0	"W"	32.0	"M"	""	"451014"
"02089013"	"OH0730100"	41326.0513888889	2.0	"4200 Blk Gallia St"	""	"New Boston"	45662.0	47.0	0.0	1.0	"W"	32.0	"M"	""	"451119A1A"
"02089013"	"OH0730100"	41326.0513888889	2.0	"4200 Blk Gallia St"	""	"New Boston"	45662.0	47.0	0.0	1.0	"W"	32.0	"M"	"P"	"292511C1"
"02089013"	"OH0730100"	41326.0513888889	2.0	"4200 Blk Gallia St"	""	"New Boston"	45662.0	47.0	0.0	1.0	"W"	32.0	"M"	"P"	"292511C3"
"02089013"	"OH0730100"	41326.0513888889	2.0	"4200 Blk Gallia St"	""	"New Boston"	45662.0	47.0	0.0	1.0	"W"	32.0	"M"	"P"	"292511C6"
"02089013"	"OH0730100"	41326.0513888889	2.0	"4200 Blk Gallia St"	""	"New Boston"	45662.0	47.0	0.0	1.0	"W"	32.0	"M"	"P"	"292514"
"02089013"	"OH0730100"	41326.0513888889	2.0	"4200 Blk Gallia St"	""	"New Boston"	45662.0	47.0	0.0	1.0	"W"	32.0	"M"	"P"	"292514C1"
"02089013"	"OH0730100"	41326.0513888889	2.0	"4200 Blk Gallia St"	""	"New Boston"	45662.0	47.0	0.0	2.0	"W"	20.0	"M"	""	"451014"
"02089013"	"OH0730100"	41326.0513888889	2.0	"4200 Blk Gallia St"	""	"New Boston"	45662.0	47.0	0.0	2.0	"W"	20.0	"M"	""	"451119A1A"
"02089013"	"OH0730100"	41326.0513888889	2.0	"4200 Blk Gallia St"	""	"New Boston"	45662.0	47.0	0.0	2.0	"W"	20.0	"M"	"P"	"292511C1"
"02089013"	"OH0730100"	41326.0513888889	2.0	"4200 Blk Gallia St"	""	"New Boston"	45662.0	47.0	0.0	2.0	"W"	20.0	"M"	"P"	"292511C3"
"02089013"	"OH0730100"	41326.0513888889	2.0	"4200 Blk Gallia St"	""	"New Boston"	45662.0	47.0	0.0	2.0	"W"	20.0	"M"	"P"	"292511C6"
"02089013"	"OH0730100"	41326.0513888889	2.0	"4200 Blk Gallia St"	""	"New Boston"	45662.0	47.0	0.0	2.0	"W"	20.0	"M"	"P"	"292514"
"02089013"	"OH0730100"	41326.0513888889	2.0	"4200 Blk Gallia St"	""	"New Boston"	45662.0	47.0	0.0	2.0	"W"	20.0	"M"	"P"	"292514C1"
"02089013"	"OH0730100"	41326.0513888889	8.0	"4200 Blk Gallia St"	""	"New Boston"	45662.0	47.0	0.0	1.0	"W"	32.0	"M"	""	"451014"
"02089013"	"OH0730100"	41326.0513888889	8.0	"4200 Blk Gallia St"	""	"New Boston"	45662.0	47.0	0.0	1.0	"W"	32.0	"M"	""	"451119A1A"
"02089013"	"OH0730100"	41326.0513888889	8.0	"4200 Blk Gallia St"	""	"New Boston"	45662.0	47.0	0.0	1.0	"W"	32.0	"M"	"P"	"292511C1"
"02089013"	"OH0730100"	41326.0513888889	8.0	"4200 Blk Gallia St"	""	"New Boston"	45662.0	47.0	0.0	1.0	"W"	32.0	"M"	"P"	"292511C3"
"02089013"	"OH0730100"	41326.0513888889	8.0	"4200 Blk Gallia St"	""	"New Boston"	45662.0	47.0	0.0	1.0	"W"	32.0	"M"	"P"	"292511C6"
"02089013"	"OH0730100"	41326.0513888889	8.0	"4200 Blk Gallia St"	""	"New Boston"	45662.0	47.0	0.0	1.0	"W"	32.0	"M"	"P"	"292514"
"02089013"	"OH0730100"	41326.0513888889	8.0	"4200 Blk Gallia St"	""	"New Boston"	45662.0	47.0	0.0	1.0	"W"	32.0	"M"	"P"	"292514C1"
"02089013"	"OH0730100"	41326.0513888889	8.0	"4200 Blk Gallia St"	""	"New Boston"	45662.0	47.0	0.0	2.0	"W"	20.0	"M"	""	"451014"
"02089013"	"OH0730100"	41326.0513888889	8.0	"4200 Blk Gallia St"	""	"New Boston"	45662.0	47.0	0.0	2.0	"W"	20.0	"M"	""	"451119A1A"
"02089013"	"OH0730100"	41326.0513888889	8.0	"4200 Blk Gallia St"	""	"New Boston"	45662.0	47.0	0.0	2.0	"W"	20.0	"M"	"P"	"292511C1"
"02089013"	"OH0730100"	41326.0513888889	8.0	"4200 Blk Gallia St"	""	"New Boston"	45662.0	47.0	0.0	2.0	"W"	20.0	"M"	"P"	"292511C3"
"02089013"	"OH0730100"	41326.0513888889	8.0	"4200 Blk Gallia St"	""	"New Boston"	45662.0	47.0	0.0	2.0	"W"	20.0	"M"	"P"	"292511C6"
"02089013"	"OH0730100"	41326.0513888889	8.0	"4200 Blk Gallia St"	""	"New Boston"	45662.0	47.0	0.0	2.0	"W"	20.0	"M"	"P"	"292514"
"02089013"	"OH0730100"	41326.0513888889	8.0	"4200 Blk Gallia St"	""	"New Boston"	45662.0	47.0	0.0	2.0	"W"	20.0	"M"	"P"	"292514C1"
"03119713"	"OH0730100"	41342.75	1.0	"4490 GALLIA STREET"	""	"NEW BOSTON"	45662.0	39.0	0.0	1.0	"W"	29.0	"M"	"P"	"292511C6"
"03119713"	"OH0730100"	41342.75	1.0	"4490 GALLIA STREET"	""	"NEW BOSTON"	45662.0	39.0	0.0	1.0	"W"	29.0	"M"	"U"	"292512"
"03144313"	"OH0730100"	41358.4944444444	1.0	"817 Harrisonville Ave."	""	"New Boston`"	45662.0	3.0	0.0	1.0	"W"	32.0	"M"	"P"	"292511C6"
"04-1406---15"	"OH0730100"	42096.1097222222	6.0	"BUCH ST APT LOT"	"3201 RHODES AVE"	"NEW BOSTON"	45662.0	77.0	0.0	1.0	"B"	37.0	"M"	"P"	"292511C1"
"04-1406---15"	"OH0730100"	42096.1097222222	6.0	"BUCH ST APT LOT"	"3201 RHODES AVE"	"NEW BOSTON"	45662.0	77.0	0.0	1.0	"B"	37.0	"M"	"P"	"292514"
"04-1406---15"	"OH0730100"	42096.1097222222	6.0	"BUCH ST APT LOT"	"3201 RHODES AVE"	"NEW BOSTON"	45662.0	77.0	0.0	1.0	"B"	37.0	"M"	"P"	"292514C1"
"05-2447---16"	"OH0730100"	42518.3965277778	1.0	""	"MILLDALE ROAD"	"NEW BOSTON"	45662.0	77.0	0.0	1.0	"W"	46.0	"M"	"P"	"292511C6"
"05-2447---16"	"OH0730100"	42518.3965277778	1.0	""	"MILLDALE ROAD"	"NEW BOSTON"	45662.0	77.0	0.0	1.0	"W"	46.0	"M"	"P"	"292512"
"05-2447---16"	"OH0730100"	42518.3965277778	1.0	""	"MILLDALE ROAD"	"NEW BOSTON"	45662.0	77.0	0.0	1.0	"W"	46.0	"M"	"P"	"292514"
"05-2447---16"	"OH0730100"	42518.3965277778	1.0	""	"MILLDALE ROAD"	"NEW BOSTON"	45662.0	77.0	0.0	2.0	"W"	31.0	"F"	"P"	"292511C6"
"05-2447---16"	"OH0730100"	42518.3965277778	1.0	""	"MILLDALE ROAD"	"NEW BOSTON"	45662.0	77.0	0.0	2.0	"W"	31.0	"F"	"P"	"292512"
"05-2447---16"	"OH0730100"	42518.3965277778	1.0	""	"MILLDALE ROAD"	"NEW BOSTON"	45662.0	77.0	0.0	2.0	"W"	31.0	"F"	"P"	"292514"
"05221613"	"OH0730100"	41400.7083333333	6.0	"4490 GALLIA STREET"	"WALMART"	"NEW BOSTON"	45662.0	39.0	0.0	1.0	"W"	31.0	"F"	""	"291121"
"05221613"	"OH0730100"	41400.7083333333	6.0	"4490 GALLIA STREET"	"WALMART"	"NEW BOSTON"	45662.0	39.0	0.0	1.0	"W"	31.0	"F"	"B"	"292511C1"
"05221613"	"OH0730100"	41400.7083333333	6.0	"4490 GALLIA STREET"	"WALMART"	"NEW BOSTON"	45662.0	39.0	0.0	1.0	"W"	31.0	"F"	"B"	"292511C2"
"05221613"	"OH0730100"	41400.7083333333	8.0	"4490 GALLIA STREET"	"WALMART"	"NEW BOSTON"	45662.0	39.0	0.0	1.0	"W"	31.0	"F"	""	"291121"
"05221613"	"OH0730100"	41400.7083333333	8.0	"4490 GALLIA STREET"	"WALMART"	"NEW BOSTON"	45662.0	39.0	0.0	1.0	"W"	31.0	"F"	"B"	"292511C1"
"05221613"	"OH0730100"	41400.7083333333	8.0	"4490 GALLIA STREET"	"WALMART"	"NEW BOSTON"	45662.0	39.0	0.0	1.0	"W"	31.0	"F"	"B"	"292511C2"
"05252513"	"OH0730100"	41418.2	6.0	"3400 Blk Gallia St."	""	"Portsmouth"	45662.0	47.0	0.0	1.0	"W"	45.0	"M"	""	"451119A1A"
"05252513"	"OH0730100"	41418.2	6.0	"3400 Blk Gallia St."	""	"Portsmouth"	45662.0	47.0	0.0	1.0	"W"	45.0	"M"	"P"	"292511C1"
"05252513"	"OH0730100"	41418.2	6.0	"3400 Blk Gallia St."	""	"Portsmouth"	45662.0	47.0	0.0	1.0	"W"	45.0	"M"	"P"	"292511C3"
"05252513"	"OH0730100"	41418.2	6.0	"3400 Blk Gallia St."	""	"Portsmouth"	45662.0	47.0	0.0	1.0	"W"	45.0	"M"	"P"	"292514"
"05252513"	"OH0730100"	41418.2	6.0	"3400 Blk Gallia St."	""	"Portsmouth"	45662.0	47.0	0.0	2.0	"W"	37.0	"F"	""	"451119A1A"
"05252513"	"OH0730100"	41418.2	6.0	"3400 Blk Gallia St."	""	"Portsmouth"	45662.0	47.0	0.0	2.0	"W"	37.0	"F"	"P"	"292511C1"
"05252513"	"OH0730100"	41418.2	6.0	"3400 Blk Gallia St."	""	"Portsmouth"	45662.0	47.0	0.0	2.0	"W"	37.0	"F"	"P"	"292511C3"
"05252513"	"OH0730100"	41418.2	6.0	"3400 Blk Gallia St."	""	"Portsmouth"	45662.0	47.0	0.0	2.0	"W"	37.0	"F"	"P"	"292514"
"06315413"	"OH0730100"	41451.6576388889	1.0	"575 Glenwood Avenue"	""	"New Boston"	45662.0	1.0	0.0	1.0	"W"	21.0	"M"	""	"292301A1"
"06315413"	"OH0730100"	41451.6576388889	1.0	"575 Glenwood Avenue"	""	"New Boston"	45662.0	1.0	0.0	1.0	"W"	21.0	"M"	""	"292303A2"
"06315413"	"OH0730100"	41451.6576388889	1.0	"575 Glenwood Avenue"	""	"New Boston"	45662.0	1.0	0.0	1.0	"W"	21.0	"M"	"D"	"292503C6"
"06315413"	"OH0730100"	41451.6576388889	1.0	"575 Glenwood Avenue"	""	"New Boston"	45662.0	1.0	0.0	2.0	"W"	21.0	"M"	""	"292301A1"
"06315413"	"OH0730100"	41451.6576388889	1.0	"575 Glenwood Avenue"	""	"New Boston"	45662.0	1.0	0.0	2.0	"W"	21.0	"M"	""	"292303A2"
"06315413"	"OH0730100"	41451.6576388889	1.0	"575 Glenwood Avenue"	""	"New Boston"	45662.0	1.0	0.0	2.0	"W"	21.0	"M"	"D"	"292503C6"
"06315413"	"OH0730100"	41451.6576388889	1.0	"575 Glenwood Avenue"	""	"New Boston"	45662.0	1.0	0.0	3.0	"W"	43.0	"F"	""	"292301A1"
"06315413"	"OH0730100"	41451.6576388889	1.0	"575 Glenwood Avenue"	""	"New Boston"	45662.0	1.0	0.0	3.0	"W"	43.0	"F"	""	"292303A2"
"06315413"	"OH0730100"	41451.6576388889	1.0	"575 Glenwood Avenue"	""	"New Boston"	45662.0	1.0	0.0	3.0	"W"	43.0	"F"	"D"	"292503C6"
"07-3117---15"	"OH0730100"	42191.0284722222	1.0	"WALMART LOT ROW 9"	"4490 GALLIA ST"	"NEW BOSTON"	45662.0	48.0	0.0	1.0	"W"	34.0	"M"	"P"	"292511C6"
"08-3587---15"	"OH0730100"	42221.80625	8.0	"LABEL SHOPPERS"	"3628 RHODES AVENUE"	"NEW BOSTON"	45662.0	39.0	0.0	1.0	"W"	32.0	"F"	""	"291302A1"
"08-3587---15"	"OH0730100"	42221.80625	8.0	"LABEL SHOPPERS"	"3628 RHODES AVENUE"	"NEW BOSTON"	45662.0	39.0	0.0	1.0	"W"	32.0	"F"	"P"	"292511C2"
"08-3587---15"	"OH0730100"	42221.80625	8.0	"LABEL SHOPPERS"	"3628 RHODES AVENUE"	"NEW BOSTON"	45662.0	39.0	0.0	2.0	"U"	42.0	"F"	""	"291302A1"
"08-3587---15"	"OH0730100"	42221.80625	8.0	"LABEL SHOPPERS"	"3628 RHODES AVENUE"	"NEW BOSTON"	45662.0	39.0	0.0	2.0	"U"	42.0	"F"	"P"	"292511C2"
"08-3587---15"	"OH0730100"	42221.80625	8.0	"LABEL SHOPPERS"	"3628 RHODES AVENUE"	"NEW BOSTON"	45662.0	48.0	0.0	1.0	"W"	32.0	"F"	""	"291302A1"
"08-3587---15"	"OH0730100"	42221.80625	8.0	"LABEL SHOPPERS"	"3628 RHODES AVENUE"	"NEW BOSTON"	45662.0	48.0	0.0	1.0	"W"	32.0	"F"	"P"	"292511C2"
"08-3587---15"	"OH0730100"	42221.80625	8.0	"LABEL SHOPPERS"	"3628 RHODES AVENUE"	"NEW BOSTON"	45662.0	48.0	0.0	2.0	"U"	42.0	"F"	""	"291302A1"
"08-3587---15"	"OH0730100"	42221.80625	8.0	"LABEL SHOPPERS"	"3628 RHODES AVENUE"	"NEW BOSTON"	45662.0	48.0	0.0	2.0	"U"	42.0	"F"	"P"	"292511C2"
"08-3686---15"	"OH0730100"	42228.6729166667	8.0	"PAP S CARRYOUT"	"3958 GALLIA STREET"	"NEW BOSTON"	45662.0	48.0	0.0	1.0	"W"	23.0	"F"	"P"	"292511C2"
"08-3686---15"	"OH0730100"	42228.6729166667	8.0	"PAP S CARRYOUT"	"3958 GALLIA STREET"	"NEW BOSTON"	45662.0	48.0	0.0	1.0	"W"	23.0	"F"	"P"	"292512"
"08-3686---15"	"OH0730100"	42228.6729166667	8.0	"PAP S CARRYOUT"	"3958 GALLIA STREET"	"NEW BOSTON"	45662.0	48.0	0.0	2.0	"W"	20.0	"F"	"P"	"292511C2"
"08-3686---15"	"OH0730100"	42228.6729166667	8.0	"PAP S CARRYOUT"	"3958 GALLIA STREET"	"NEW BOSTON"	45662.0	48.0	0.0	2.0	"W"	20.0	"F"	"P"	"292512"
"08403313"	"OH0730100"	41491.7847222222	6.0	"LAKEVIEW AVENUE"	"YORK STREET"	"NEW BOSTON"	45662.0	47.0	43.0	1.0	"W"	40.0	"M"	"P"	"292511C2"
"09-2947---17"	"OH0730100"	42980.9805555556	1.0	""	"300 BLOCK CENTER ST"	"NEW BOSTON"	45662.0	47.0	0.0	1.0	"W"	26.0	"M"	"P"	"292511C1"
"09-2947---17"	"OH0730100"	42980.9805555556	1.0	""	"300 BLOCK CENTER ST"	"NEW BOSTON"	45662.0	47.0	0.0	1.0	"W"	26.0	"M"	"P"	"292514"
"09-2947---17"	"OH0730100"	42980.9805555556	1.0	""	"300 BLOCK CENTER ST"	"NEW BOSTON"	45662.0	47.0	0.0	2.0	"W"	39.0	"F"	"P"	"292511C1"
"09-2947---17"	"OH0730100"	42980.9805555556	1.0	""	"300 BLOCK CENTER ST"	"NEW BOSTON"	45662.0	47.0	0.0	2.0	"W"	39.0	"F"	"P"	"292514"
"12666513"	"OH0730100"	41619.9583333333	6.0	"RHODES AVENUE"	"4300 BLOCK"	"NEW BOSTON"	45662.0	47.0	43.0	1.0	"W"	37.0	"M"	""	"292113"
"12666513"	"OH0730100"	41619.9583333333	6.0	"RHODES AVENUE"	"4300 BLOCK"	"NEW BOSTON"	45662.0	47.0	43.0	1.0	"W"	37.0	"M"	""	"292131"
"12666513"	"OH0730100"	41619.9583333333	6.0	"RHODES AVENUE"	"4300 BLOCK"	"NEW BOSTON"	45662.0	47.0	43.0	1.0	"W"	37.0	"M"	"B"	"292511C1"
"12666513"	"OH0730100"	41619.9583333333	6.0	"RHODES AVENUE"	"4300 BLOCK"	"NEW BOSTON"	45662.0	47.0	43.0	1.0	"W"	37.0	"M"	"B"	"292511C2"
"13-2744"	"OH0730000"	41631.5104166667	1.0	""	"3367 CAREYS RUN RD"	"WEST PORTSMOUTH"	45663.0	1.0	0.0	1.0	"W"	33.0	"F"	"P"	"292511C1"
"13-2744"	"OH0730000"	41631.5104166667	1.0	""	"3367 CAREYS RUN RD"	"WEST PORTSMOUTH"	45663.0	1.0	0.0	1.0	"W"	33.0	"F"	"P"	"292512"
"130703"	"OH0730000"	41374.375	6.0	"7844 ST RT 139"	""	"MINFORD"	45662.0	1.0	0.0	1.0	"W"	32.0	"F"	"B"	"292503"
"130845"	"OH0730000"	41396.8958333333	8.0	"STATE ROUTE 104 SOUTH"	"BETWEEN CENTRAL AVE AND LINCOL"	"WEST PORTSMOUTH"	45663.0	47.0	0.0	1.0	"W"	33.0	"M"	""	"292112"
"130845"	"OH0730000"	41396.8958333333	8.0	"STATE ROUTE 104 SOUTH"	"BETWEEN CENTRAL AVE AND LINCOL"	"WEST PORTSMOUTH"	45663.0	47.0	0.0	1.0	"W"	33.0	"M"	"B"	"292511C2"
"130845"	"OH0730000"	41396.8958333333	8.0	"STATE ROUTE 104 SOUTH"	"BETWEEN CENTRAL AVE AND LINCOL"	"WEST PORTSMOUTH"	45663.0	47.0	0.0	1.0	"W"	33.0	"M"	"P"	"292511C1"
"130853"	"OH0730000"	41397.7777777778	1.0	"1600 BLOCK WASHINGTON BLVD"	"BETWEEN LESTER ST AND CALVERTS"	"WEST PORTSMOUTH"	45663.0	47.0	0.0	1.0	"W"	26.0	"M"	"B"	"292511C6"
"130853"	"OH0730000"	41397.7777777778	1.0	"1600 BLOCK WASHINGTON BLVD"	"BETWEEN LESTER ST AND CALVERTS"	"WEST PORTSMOUTH"	45663.0	47.0	0.0	1.0	"W"	26.0	"M"	"B"	"292512"
"130944"	"OH0730000"	41406.80625	8.0	"SLAB RUN RD"	"IN FRONT OF 323"	"WEST PORTSMOUTH"	45663.0	47.0	0.0	1.0	"W"	29.0	"F"	"B"	"292511"
"131525"	"OH0730000"	41472.9375	1.0	"308 ELLIOTT HILL ROAD"	""	"PORTSMOUTH"	45662.0	52.0	0.0	1.0	"W"	28.0	"M"	""	"292131"
"131525"	"OH0730000"	41472.9375	1.0	"308 ELLIOTT HILL ROAD"	""	"PORTSMOUTH"	45662.0	52.0	0.0	1.0	"W"	28.0	"M"	"P"	"292511"
"131525"	"OH0730000"	41472.9375	1.0	"308 ELLIOTT HILL ROAD"	""	"PORTSMOUTH"	45662.0	52.0	0.0	1.0	"W"	28.0	"M"	"P"	"292512"
"131525"	"OH0730000"	41472.9375	1.0	"308 ELLIOTT HILL ROAD"	""	"PORTSMOUTH"	45662.0	52.0	0.0	2.0	"W"	33.0	"F"	""	"292131"
"131525"	"OH0730000"	41472.9375	1.0	"308 ELLIOTT HILL ROAD"	""	"PORTSMOUTH"	45662.0	52.0	0.0	2.0	"W"	33.0	"F"	"P"	"292511"
"131525"	"OH0730000"	41472.9375	1.0	"308 ELLIOTT HILL ROAD"	""	"PORTSMOUTH"	45662.0	52.0	0.0	2.0	"W"	33.0	"F"	"P"	"292512"
"131694"	"OH0730000"	41488.5104166667	6.0	"10455 Rt. 104"	""	"Lucasville"	45648.0	1.0	0.0	1.0	"W"	38.0	"F"	"P"	"292511C2"
"14-1382"	"OH0730000"	41858.375	8.0	""	"1025 16TH STREET"	"PORTSMOUTH"	45662.0	12.0	0.0	1.0	"W"	34.0	"M"	"P"	"292136A2"
"14-1619"	"OH0730000"	41888.0194444444	1.0	""	"1700 BLOCK OF 11TH ST."	"PORTSMOUTH"	45662.0	47.0	0.0	1.0	"W"	29.0	"M"	"P"	"292511C1"
"14-1781"	"OH0730000"	41903.0	1.0	"700 LAKEVIEW AVE"	"1025 16TH ST"	"PORTSMOUTH"	45662.0	77.0	0.0	1.0	"W"	27.0	"M"	"B"	"292136A2"
"14-2132"	"OH0730000"	41954.425	6.0	""	"SR 852 @ SR 52"	"WEST PORTSMOUTH"	45663.0	47.0	0.0	1.0	"W"	37.0	"M"	"P"	"292511C1"
"14-2132"	"OH0730000"	41954.425	6.0	""	"SR 852 @ SR 52"	"WEST PORTSMOUTH"	45663.0	47.0	0.0	1.0	"W"	37.0	"M"	"P"	"292511C2"
"14-2132"	"OH0730000"	41954.425	6.0	""	"SR 852 @ SR 52"	"WEST PORTSMOUTH"	45663.0	47.0	0.0	1.0	"W"	37.0	"M"	"P"	"292511C3"
"15-0309"	"OH0730000"	42061.5833333333	1.0	""	"1949 HAYPORT ROAD"	"WHEELESBURG"	45694.0	43.0	0.0	1.0	"W"	38.0	"M"	"P"	"292511C6"
"15-0729"	"OH0730000"	42125.3229166667	1.0	"SCIOTO CO. JAIL"	"1025 16TH ST"	"PORTSMOUTH"	45662.0	12.0	0.0	1.0	"W"	39.0	"F"	"P"	"292511C6"
"15-0833"	"OH0730000"	42145.0486111111	8.0	""	"47 MAPLE"	"LUCASVILLE"	45648.0	43.0	0.0	1.0	"W"	25.0	"M"	"C"	"2925041"
"15-1045"	"OH0730000"	42173.5965277778	1.0	""	"ST. RT 140"	"WHEELERSBURG"	45694.0	47.0	0.0	1.0	"W"	35.0	"F"	"P"	"292511C6"
"15-1099"	"OH0730000"	42180.3680555556	1.0	""	"113 NAPOLEON LN"	"FRANKLIN FURNACE"	45629.0	77.0	0.0	1.0	"W"	37.0	"M"	"P"	"292511C6"
"15-1797"	"OH0730000"	42276.1361111111	1.0	"SCIOTO COUNTY JAIL"	"1025 16TH ST."	"PORTSMOUTH"	45662.0	12.0	0.0	1.0	"W"	36.0	"M"	"P"	"292511C1"
"15-1827"	"OH0730000"	42279.9534722222	2.0	"SCIOTO COUNTY JAIL"	"1025 16TH ST."	"PORTSMOUTH"	45662.0	12.0	0.0	1.0	"W"	23.0	"F"	"P"	"292511C1"
"16-0590"	"OH0730000"	42448.3805555556	1.0	""	"1468-F TATMAN COE RD"	"MCDERMOTT"	45652.0	1.0	0.0	1.0	"W"	34.0	"M"	"P"	"292511"
